Week,Position,Rise/Fall,Song,Artist,Album,Total Points,Streams Points,Sales Points,Airplay Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2025-01-03,1,NEW,ไหล่เธอ (You’ve Got Ma Back) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ไหล่เธอ (You’ve Got Ma Back) - Single,234,160,54,20,0,0,101,0
2025-01-03,2,NEW,Read your Mind,Sabrina Carpenter,emails i can’t send fwd:,154,105,39,10,0,0,101,0
2025-01-03,3,NEW,How You Get the Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),142,90,42,10,0,0,101,0
2025-01-03,4,NEW,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),117,85,12,20,0,0,101,0
2025-01-03,5,NEW,After LIKE,IVE,After LIKE,102,65,27,10,0,0,101,0
2025-01-03,6,NEW,All You Had to Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),90,55,33,2,0,0,101,0
2025-01-03,7,NEW,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,82,50,30,2,0,0,101,0
2025-01-03,8,NEW,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,74,55,9,10,0,0,101,0
2025-01-03,9,NEW,Juno,Sabrina Carpenter,Short n' Sweet,74,45,27,2,0,0,101,0
2025-01-03,10,NEW,ง้อว (Smile Please) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ง้อว (Smile Please) - Single,74,45,27,2,0,0,101,0
2025-01-03,11,NEW,That's My Floor,Magdalena Bay,Imaginal Disk,69,50,9,10,0,0,101,0
2025-01-03,12,NEW,เพลงรัก (Hook) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Gemini,เพลงรัก (Hook) - Single,66,40,24,2,0,0,101,0
2025-01-03,13,NEW,รักหน้าตาเหมือนเธอไหม (Love Love Love) (เพลงประกอบซีรีส์ Our Skyy แฟนผมเป็นประธานนักเรียน),Gemini,รักหน้าตาเหมือนเธอไหม (Love Love Love) - Single,66,40,24,2,0,0,101,0
2025-01-03,14,NEW,Summer Paradise,Simple Plan,Summer Paradise,65,45,12,8,0,0,101,0
2025-01-03,15,NEW,After Midnight,Chappell Roan,The Rise and Fall of a Midwest Princess,58,35,21,2,0,0,101,0
2025-01-03,16,NEW,Say Don't Go (Taylor's Version) (From the Vault),Taylor Swift,1989 (Taylor's Version),50,30,18,2,0,0,101,0
2025-01-03,17,NEW,Slut! (Taylor's Version) (From the Vault),Taylor Swift,1989 (Taylor's Version),50,30,18,2,0,0,101,0
2025-01-03,18,NEW,Wonderland (Taylor's Version),Taylor Swift,1989 (Taylor's Version),50,30,18,2,0,0,101,0
2025-01-03,19,NEW,ก้อนหินกับดวงดาว (Rock & Star) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ก้อนหินกับดวงดาว (Rock & Star) - Single,50,30,18,2,0,0,101,0
2025-01-03,20,NEW,All the Time,Green Day,Nimrod,46,30,6,10,0,0,101,0
2025-01-03,21,NEW,Redundant,Green Day,Nimrod,46,30,6,10,0,0,101,0
2025-01-03,22,NEW,Feather,Sabrina Carpenter,emails i can’t send fwd:,42,25,15,2,0,0,101,0
2025-01-03,23,NEW,เพื่อนเล่น ไม่เล่นเพื่อน (Cover Version) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,เพื่อนเล่น ไม่เล่นเพื่อน (Cover Version) - Single,42,25,15,2,0,0,101,0
2025-01-03,24,NEW,Death & Romance,Magdalena Bay,Imaginal Disk,42,25,15,2,0,0,101,0
2025-01-03,25,NEW,Image,Magdalena Bay,Imaginal Disk,42,25,15,2,0,0,101,0
2025-01-03,26,NEW,Tunnel Vision,Magdalena Bay,Imaginal Disk,42,25,15,2,0,0,101,0
2025-01-03,27,NEW,She's So Mean,Matchbox Twenty,North (Deluxe Edition),40,25,9,6,0,0,101,0
2025-01-03,28,NEW,Minority,Green Day,Warning,40,25,9,6,0,0,101,0
2025-01-03,29,NEW,Popular Song,Mika,Yours Truly,38,25,3,10,0,0,101,0
2025-01-03,30,NEW,Scattered,Green Day,Nimrod,38,25,3,10,0,0,101,0
2025-01-03,31,NEW,Girl at Home (Taylor's Version),Taylor Swift,Red (Taylor's Version),38,25,3,10,0,0,101,0
2025-01-03,32,NEW,Roller Coaster,blink-182,Take Off Your Pants and Jacket,34,20,12,2,0,0,101,0
2025-01-03,33,NEW,New Romantics (Taylor's Version),Taylor Swift,1989 (Taylor's Version),34,20,12,2,0,0,101,0
2025-01-03,34,NEW,อยากร้องดังดัง (Cover Version) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,อยากร้องดังดัง (Cover Version) - Single,34,20,12,2,0,0,101,0
2025-01-03,35,NEW,Dirty Little Secret,The All-American Rejects,Move Along,32,20,6,6,0,0,101,0
2025-01-03,36,NEW,Unwell,Matchbox Twenty,More Than You Think You Are,26,15,9,2,0,0,101,0
2025-01-03,37,NEW,The American Dream Is Killing Me,Green Day,Saviors,26,15,9,2,0,0,101,0
2025-01-03,38,NEW,Fashion Victim,Green Day,Warning,26,15,9,2,0,0,101,0
2025-01-03,39,NEW,Every Time I Look For You,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,40,NEW,Blood Sex and Booze,Green Day,Warning,26,15,9,2,0,0,101,0
2025-01-03,41,NEW,Stay Together for the Kids,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,42,NEW,The Rock Show,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,43,NEW,Shut Up,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,44,NEW,Anthem Part Two,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,45,NEW,Happy Holidays You Bastard,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,46,NEW,Online Songs,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,47,NEW,Reckless Abandon,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,48,NEW,First Date,blink-182,Take Off Your Pants and Jacket,26,15,9,2,0,0,101,0
2025-01-03,49,NEW,Taste,Sabrina Carpenter,Short n' Sweet,26,15,9,2,0,0,101,0
2025-01-03,50,NEW,i wish i hated you,Ariana Grande,eternal sunshine,26,15,9,2,0,0,101,0
2025-01-03,51,NEW,You Are in Love (Taylor's Version),Taylor Swift,1989 (Taylor's Version),26,15,9,2,0,0,101,0
2025-01-03,52,NEW,Saviors,Green Day,Saviors,24,15,3,6,0,0,101,0
2025-01-03,53,NEW,Jesus of Suburbia,Green Day,American Idiot,18,10,6,2,0,0,101,0
2025-01-03,54,NEW,Motivation,Sum 41,All Killer No Filler,18,10,6,2,0,0,101,0
2025-01-03,55,NEW,Know Your Enemy,Green Day,21st Century Breakdown,18,10,6,2,0,0,101,0
2025-01-03,56,NEW,This Is How I Disappear,My Chemical Romance,The Black Parade,18,10,6,2,0,0,101,0
2025-01-03,57,NEW,Oh Love,Green Day,¡Uno!,18,10,6,2,0,0,101,0
2025-01-03,58,NEW,Graffitia,Green Day,Father of All...,18,10,6,2,0,0,101,0
2025-01-03,59,NEW,Girlfriend,Avril Lavigne,The Best Damn Thing (Expanded Edition),18,10,6,2,0,0,101,0
2025-01-03,60,NEW,House of Wolves,My Chemical Romance,The Black Parade,18,10,6,2,0,0,101,0
2025-01-03,61,NEW,Losing Grip,Avril Lavigne,Let Go,18,10,6,2,0,0,101,0
2025-01-03,62,NEW,Song of the Century,Green Day,21st Century Breakdown,18,10,6,2,0,0,101,0
2025-01-03,63,NEW,Last of the American Girls,Green Day,21st Century Breakdown,18,10,6,2,0,0,101,0
2025-01-03,64,NEW,You Found Me,Kelly Clarkson,Breakaway,18,10,6,2,0,0,101,0
2025-01-03,65,NEW,Hold On,Green Day,Warning,18,10,6,2,0,0,101,0
2025-01-03,66,NEW,Last Night on Earth,Green Day,21st Century Breakdown,18,10,6,2,0,0,101,0
2025-01-03,67,NEW,She's a Rebel,Green Day,American Idiot,18,10,6,2,0,0,101,0
2025-01-03,68,NEW,Save Yourself I'll Hold Them Back,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,18,10,6,2,0,0,101,0
2025-01-03,69,NEW,Mutt,blink-182,Enema of the State,18,10,6,2,0,0,101,0
2025-01-03,70,NEW,Worry Rock,Green Day,Nimrod,18,10,6,2,0,0,101,0
2025-01-03,71,NEW,Thank You for the Venom,My Chemical Romance,Three Cheers for Sweet Revenge,18,10,6,2,0,0,101,0
2025-01-03,72,NEW,Wish You Were Here,Avril Lavigne,Goodbye Lullaby (Expanded Edition),18,10,6,2,0,0,101,0
2025-01-03,73,NEW,Sugar We're Goin Down,Fall Out Boy,From Under the Cork Tree,18,10,6,2,0,0,101,0
2025-01-03,74,NEW,On a Plain,Nirvana,Nevermind (Remastered),18,10,6,2,0,0,101,0
2025-01-03,75,NEW,Where Is Your Heart,Kelly Clarkson,Breakaway,18,10,6,2,0,0,101,0
2025-01-03,76,NEW,Rock n Roll,Avril Lavigne,Avril Lavigne (Expanded Edition),18,10,6,2,0,0,101,0
2025-01-03,77,NEW,The End.,My Chemical Romance,The Black Parade,18,10,6,2,0,0,101,0
2025-01-03,78,NEW,Platypus (I Hate You),Green Day,Nimrod,18,10,6,2,0,0,101,0
2025-01-03,79,NEW,Famous Last Words,My Chemical Romance,The Black Parade,18,10,6,2,0,0,101,0
2025-01-03,80,NEW,Boulevard of Broken Dreams,Green Day,American Idiot,18,10,6,2,0,0,101,0
2025-01-03,81,NEW,Castaway,Green Day,Warning,18,10,6,2,0,0,101,0
2025-01-03,82,NEW,Fancy Sauce,Green Day,Saviors,18,10,6,2,0,0,101,0
2025-01-03,83,NEW,Deadbeat Holiday,Green Day,Warning,18,10,6,2,0,0,101,0
2025-01-03,84,NEW,Strange Days Are Here to Stay,Green Day,Saviors,18,10,6,2,0,0,101,0
2025-01-03,85,NEW,Suzie Chapstick,Green Day,Saviors,18,10,6,2,0,0,101,0
2025-01-03,86,NEW,Real World,Matchbox Twenty,Yourself or Someone Like You,18,10,6,2,0,0,101,0
2025-01-03,87,NEW,1981,Green Day,Saviors,18,10,6,2,0,0,101,0
2025-01-03,88,NEW,Dilemma,Green Day,Saviors,18,10,6,2,0,0,101,0
2025-01-03,89,NEW,Church on Sunday,Green Day,Warning,18,10,6,2,0,0,101,0
2025-01-03,90,NEW,Living in the '20s,Green Day,Saviors,18,10,6,2,0,0,101,0
2025-01-03,91,NEW,3AM,Matchbox Twenty,Yourself or Someone Like You,18,10,6,2,0,0,101,0
2025-01-03,92,NEW,Father to a Son,Green Day,Saviors,18,10,6,2,0,0,101,0
2025-01-03,93,NEW,Look Ma No Brains!,Green Day,Saviors,18,10,6,2,0,0,101,0
2025-01-03,94,NEW,ordinary things (feat. Nonna),Ariana Grande,eternal sunshine,18,10,6,2,0,0,101,0
2025-01-03,95,NEW,imperfect for you,Ariana Grande,eternal sunshine,18,10,6,2,0,0,101,0
2025-01-03,96,NEW,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,18,10,6,2,0,0,101,0
2025-01-03,97,NEW,yes and?,Ariana Grande,eternal sunshine,18,10,6,2,0,0,101,0
2025-01-03,98,NEW,the boy is mine,Ariana Grande,eternal sunshine,18,10,6,2,0,0,101,0
2025-01-03,99,NEW,true story,Ariana Grande,eternal sunshine,18,10,6,2,0,0,101,0
2025-01-03,100,NEW,supernatural,Ariana Grande,eternal sunshine,18,10,6,2,0,0,101,0
2025-01-10,1,+1,Read your Mind,Sabrina Carpenter,emails i can’t send fwd:,417,230,138,2,47,0,101,0
2025-01-10,2,+1,How You Get the Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),381,210,126,2,43,0,101,0
2025-01-10,3,+4,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,379,220,132,2,25,0,101,0
2025-01-10,4,+4,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,361,210,126,2,23,0,101,0
2025-01-10,5,+1,All You Had to Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),341,195,117,2,27,0,101,0
2025-01-10,6,+94,supernatural,Ariana Grande,eternal sunshine,312,190,114,2,6,0,101,0
2025-01-10,7,RE,don't wanna break up again,Ariana Grande,eternal sunshine,306,190,114,2,0,0,101,0
2025-01-10,8,+25,New Romantics (Taylor's Version),Taylor Swift,1989 (Taylor's Version),285,170,102,2,11,0,101,0
2025-01-10,9,-8,ไหล่เธอ (You’ve Got Ma Back) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ไหล่เธอ (You’ve Got Ma Back) - Single,153,50,30,2,71,0,101,0
2025-01-10,10,RE,The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,130,80,48,2,0,0,101,0
2025-01-10,11,-1,ง้อว (Smile Please) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ง้อว (Smile Please) - Single,105,50,30,2,23,0,101,0
2025-01-10,12,-1,That's My Floor,Magdalena Bay,Imaginal Disk,103,50,30,2,21,0,101,0
2025-01-10,13,RE,Nice Guys Finish Last,Green Day,Nimrod,98,60,36,2,0,0,101,0
2025-01-10,14,-9,After LIKE,IVE,After LIKE,97,40,24,2,31,0,101,0
2025-01-10,15,RE,Breathless,The Corrs,In Blue,90,55,33,2,0,0,101,0
2025-01-10,16,+26,The Rock Show,blink-182,Take Off Your Pants and Jacket,90,50,30,2,8,0,101,0
2025-01-10,17,-8,Juno,Sabrina Carpenter,Short n' Sweet,89,40,24,2,23,0,101,0
2025-01-10,18,+55,Sugar We're Goin Down,Fall Out Boy,From Under the Cork Tree,88,50,30,2,6,0,101,0
2025-01-10,19,RE,Breakaway,Kelly Clarkson,Breakaway,82,50,30,2,0,0,101,0
2025-01-10,20,+9,Popular Song,Mika,Yours Truly,78,40,24,2,12,0,101,0
2025-01-10,21,RE,Lips of an Angel,Hinder,Extreme Behavior,74,45,27,2,0,0,101,0
2025-01-10,22,RE,Dead!,My Chemical Romance,The Black Parade,74,45,27,2,0,0,101,0
2025-01-10,23,+16,Every Time I Look For You,blink-182,Take Off Your Pants and Jacket,74,40,24,2,8,0,101,0
2025-01-10,24,-20,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),70,20,12,2,36,0,101,0
2025-01-10,25,RE,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,66,40,24,2,0,0,101,0
2025-01-10,26,RE,Dance Dance,Fall Out Boy,From Under the Cork Tree,66,40,24,2,0,0,101,0
2025-01-10,27,RE,What's My Age Again?,blink-182,Enema of the State,66,40,24,2,0,0,101,0
2025-01-10,28,RE,Easy,Stray Kids,GO LIVE,66,40,24,2,0,0,101,0
2025-01-10,29,RE,Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),66,40,24,2,0,0,101,0
2025-01-10,30,RE,Difficult,Gracie Abrams,Good Riddance (Deluxe),58,35,21,2,0,0,101,0
2025-01-10,31,RE,Full machine,Gracie Abrams,Good Riddance (Deluxe),58,35,21,2,0,0,101,0
2025-01-10,32,RE,Best,Gracie Abrams,Good Riddance (Deluxe),58,35,21,2,0,0,101,0
2025-01-10,33,-20,รักหน้าตาเหมือนเธอไหม (Love Love Love) (เพลงประกอบซีรีส์ Our Skyy แฟนผมเป็นประธานนักเรียน),Gemini,รักหน้าตาเหมือนเธอไหม (Love Love Love) - Single,54,20,12,2,20,0,101,0
2025-01-10,34,RE,I know it won't work,Gracie Abrams,Good Riddance (Deluxe),50,30,18,2,0,0,101,0
2025-01-10,35,RE,A Little Less Sixteen Candles a Little More Touch Me,Fall Out Boy,From Under the Cork Tree,48,30,12,6,0,0,101,0
2025-01-10,36,+57,Look Ma No Brains!,Green Day,Saviors,48,25,15,2,6,0,101,0
2025-01-10,37,RE,Recess,Melanie Martinez,K-12,42,25,15,2,0,0,101,0
2025-01-10,38,RE,Teacher's Pet,Melanie Martinez,K-12,42,25,15,2,0,0,101,0
2025-01-10,39,RE,Wheels on the Bus,Melanie Martinez,K-12,42,25,15,2,0,0,101,0
2025-01-10,40,RE,Tag You're It,Melanie Martinez,Cry Baby (Deluxe Edition),42,25,15,2,0,0,101,0
2025-01-10,41,RE,Soap,Melanie Martinez,Cry Baby (Deluxe Edition),42,25,15,2,0,0,101,0
2025-01-10,42,-6,Unwell,Matchbox Twenty,More Than You Think You Are,42,20,12,2,8,0,101,0
2025-01-10,43,-13,Scattered,Green Day,Nimrod,38,15,9,2,12,0,101,0
2025-01-10,44,RE,pretty isn’t pretty,Olivia Rodrigo,GUTS,34,20,12,2,0,0,101,0
2025-01-10,45,RE,love is embarrassing,Olivia Rodrigo,GUTS,34,20,12,2,0,0,101,0
2025-01-10,46,RE,get him back!,Olivia Rodrigo,GUTS,34,20,12,2,0,0,101,0
2025-01-10,47,+49,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,32,15,9,2,6,0,101,0
2025-01-10,48,+19,She's a Rebel,Green Day,American Idiot (20th Anniversary Deluxe Edition),64,35,21,2,6,0,101,0
2025-01-10,49,+31,Boulevard of Broken Dreams,Green Day,American Idiot (20th Anniversary Deluxe Edition),64,35,21,2,6,0,101,0
2025-01-10,50,-30,All the Time,Green Day,Nimrod,32,10,6,2,14,0,101,0
2025-01-10,51,-24,She's So Mean,Matchbox Twenty,North (Deluxe Edition),30,10,6,2,12,0,101,0
2025-01-10,52,+27,Famous Last Words,My Chemical Romance,The Black Parade,24,10,6,2,6,0,101,0
2025-01-10,53,+38,3AM,Matchbox Twenty,Yourself or Someone Like You,24,10,6,2,6,0,101,0
2025-01-10,54,+3,Oh Love,Green Day,¡Uno!,24,10,6,2,6,0,101,0
2025-01-10,55,+15,Worry Rock,Green Day,Nimrod,24,10,6,2,6,0,101,0
2025-01-10,56,-35,Redundant,Green Day,Nimrod,24,5,3,2,14,0,101,0
2025-01-10,57,-31,Tunnel Vision,Magdalena Bay,Imaginal Disk,23,5,3,2,13,0,101,0
2025-01-10,58,-34,Death & Romance,Magdalena Bay,Imaginal Disk,23,5,3,2,13,0,101,0
2025-01-10,59,-34,Image,Magdalena Bay,Imaginal Disk,23,5,3,2,13,0,101,0
2025-01-10,60,-32,Minority,Green Day,Warning,22,5,3,2,12,0,101,0
2025-01-10,61,-20,Stay Together for the Kids,blink-182,Take Off Your Pants and Jacket,18,5,3,2,8,0,101,0
2025-01-10,62,-17,Happy Holidays You Bastard,blink-182,Take Off Your Pants and Jacket,18,5,3,2,8,0,101,0
2025-01-10,63,-16,Reckless Abandon,blink-182,Take Off Your Pants and Jacket,18,5,3,2,8,0,101,0
2025-01-10,64,-16,First Date,blink-182,Take Off Your Pants and Jacket,18,5,3,2,8,0,101,0
2025-01-10,65,-13,Saviors,Green Day,Saviors,18,5,3,2,8,0,101,0
2025-01-10,66,-29,The American Dream Is Killing Me,Green Day,Saviors,18,5,3,2,8,0,101,0
2025-01-10,67,-24,Shut Up,blink-182,Take Off Your Pants and Jacket,18,5,3,2,8,0,101,0
2025-01-10,68,-8,House of Wolves,My Chemical Romance,The Black Parade,16,5,3,2,6,0,101,0
2025-01-10,69,+7,Rock n Roll,Avril Lavigne,Avril Lavigne (Expanded Edition),16,5,3,2,6,0,101,0
2025-01-10,70,-12,Graffitia,Green Day,Father of All...,16,5,3,2,6,0,101,0
2025-01-10,71,+14,Suzie Chapstick,Green Day,Saviors,16,5,3,2,6,0,101,0
2025-01-10,72,-10,Song of the Century,Green Day,21st Century Breakdown,16,5,3,2,6,0,101,0
2025-01-10,73,-18,Know Your Enemy,Green Day,21st Century Breakdown,16,5,3,2,6,0,101,0
2025-01-10,74,+14,Dilemma,Green Day,Saviors,16,5,3,2,6,0,101,0
2025-01-10,75,-10,Hold On,Green Day,Warning,16,5,3,2,6,0,101,0
2025-01-10,76,+6,Fancy Sauce,Green Day,Saviors,16,5,3,2,6,0,101,0
2025-01-10,77,+1,Platypus (I Hate You),Green Day,Nimrod,16,5,3,2,6,0,101,0
2025-01-10,78,-17,Losing Grip,Avril Lavigne,Let Go,16,5,3,2,6,0,101,0
2025-01-10,79,-10,Mutt,blink-182,Enema of the State,16,5,3,2,6,0,101,0
2025-01-10,80,+6,Real World,Matchbox Twenty,Yourself or Someone Like You,16,5,3,2,6,0,101,0
2025-01-10,81,+11,Father to a Son,Green Day,Saviors,16,5,3,2,6,0,101,0
2025-01-10,82,+7,Church on Sunday,Green Day,Warning,16,5,3,2,6,0,101,0
2025-01-17,1,+14,Breathless,The Corrs,In Blue,229,125,75,2,27,0,101,0
2025-01-17,2,=,How You Get the Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),225,50,30,2,115,29,101,0
2025-01-17,3,-2,Read your Mind,Sabrina Carpenter,emails i can’t send fwd:,222,40,24,2,126,31,101,0
2025-01-17,4,-1,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,205,45,27,2,114,17,101,0
2025-01-17,5,+4,ไหล่เธอ (You’ve Got Ma Back) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ไหล่เธอ (You’ve Got Ma Back) - Single,199,65,39,2,46,47,101,0
2025-01-17,6,-1,All You Had to Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),195,45,27,2,103,18,101,0
2025-01-17,7,+1,New Romantics (Taylor's Version),Taylor Swift,1989 (Taylor's Version),167,45,27,2,86,7,101,0
2025-01-17,8,+3,ง้อว (Smile Please) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ง้อว (Smile Please) - Single,159,70,36,6,32,15,101,0
2025-01-17,9,-5,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,158,20,12,2,109,15,101,0
2025-01-17,10,RE,Way Back Into Love,Hugh Grant,Music And Lyrics - Music From and Inspired By The Motion Picture (International Release),154,95,57,2,0,0,101,0
